run_id,kind,repeat,exclusion_reason,protocol_version,K,C,freq_state,requested_freq_MHz,actual_freq_mean_MHz,admission_fps_per_stream,source_fps,aggregate_admitted_fps,aggregate_ready_fps,aggregate_completed_fps,min_per_stream_completed_fps,mean_per_stream_completed_fps,g_B,backlog_at_active_end,backlog_peak,queue_stable,avg_power_W,median_power_W,active_energy_J,energy_per_frame_J,temperature,OC3_delta,integrity_status,hardware_status,supply_status,active_concurrency_peak,active_concurrency_mean,frontend_ready_deficit_fraction,frontend_pending_slope,source_pending_slope,pipeline_audit_status,queue_classification,child_returncode,child_exit_signal,PIPELINE_SEMANTICS,PROCESS_LIFECYCLE
RDVG_20260919_P01,primary,,PROTOCOL_V1_ABORT_ON_OC3,1,7,4,HIGH,1575,,21,,40.833333333333336,,40.833333333333336,5.833333333333333,5.833333333333333,,,,False,,,,,,,INVALID,PROTECTION_LIMITED,,,,,,,,INVALID,,,,
RDVG_20260919_SMOKE01,smoke,,PRE_UNIFIED_BACKLOG_PROTOCOL,1,7,4,HIGH,1575,1575.0,30,,210.0,,209.7,29.9,29.957142857142856,,,,True,48.49514373862337,,484.9514373862337,0.231259626793626,47.30852083333333,0,VALID,CLEAN,,,,,,,,QUEUE_STABLE,,,,
RDVG_20260919_SMOKE02,smoke,,PRE_UNIFIED_BACKLOG_PROTOCOL,1,7,4,LOW,945,945.0,21,,147.0,,146.2,20.8,20.885714285714286,,,,True,28.443564752888257,,284.43564752888255,0.19455242649034374,46.03577083333333,0,VALID,CLEAN,,,,,,,,QUEUE_STABLE,,,,
RDVG_RECOVERY_20260919_A1,smoke,,PRE_UNIFIED_BACKLOG_PROTOCOL,2,7,4,HIGH,1575,1575.0,30,210.0,210.0,210.0,209.7,29.9,29.957142857142856,,,,True,48.66734546273922,,486.67345462739223,0.23208080811988185,47.82933333333333,1,VALID,PROTECTION_LIMITED,,4,3.2312029381000116,0.0,-0.02449649543790524,-0.006371758391356894,PASS,QUEUE_STABLE,0,,PASS,PASS
RDVG_RECOVERY_20260919_A2,smoke,,PRE_UNIFIED_BACKLOG_PROTOCOL,2,7,4,HIGH,1575,1575.0,30,210.0,210.0,210.0,209.7,29.9,29.957142857142856,,,,True,49.02514830587599,,490.25148305875985,0.2337870686975488,51.611515789473685,0,VALID,CLEAN,,4,3.2409620163999953,0.0,-0.044945895844564626,-0.0050320652241556685,PASS,QUEUE_STABLE,0,,PASS,PASS
RDVG_RECOVERY_20260919_B,smoke,,PRE_UNIFIED_BACKLOG_PROTOCOL,2,7,4,LOW,945,945.0,21,210.0,147.0,147.0,146.2,20.8,20.885714285714286,,,,True,28.649301544209646,,286.49301544209646,0.1959596548851549,48.69952083333333,0,VALID,CLEAN,,4,3.1667098190000016,0.0,0.02016449309849521,0.0025676536552046055,PASS,QUEUE_STABLE,0,,PASS,PASS
RDVG_V2_20260919_P01,primary,1,PRE_UNIFIED_BACKLOG_PROTOCOL,2,7,4,HIGH,1575,1575.0,21,210.0,147.0,147.0,146.95,20.983333333333334,20.992857142857144,,,,True,37.2848656897459,,2237.091941384754,0.253724843074147,51.94978608695652,4,VALID,PROTECTION_LIMITED,,4,2.2356489481166633,0.0,-0.0018763557721814565,6.8213849631698905e-06,PASS,QUEUE_STABLE,0,,PASS,PASS
RDVG_V2_20260919_P02,primary,1,OLD_PROTOCOL_ABORT_ON_SOURCE_LAG,2,7,4,LOW,945,,24,210.0,163.08333333333334,163.06666666666666,163.01666666666668,23.2,23.288095238095238,,,,False,,,,,,0,INVALID,CLEAN,,4,3.5803542289666503,0.00010219724067450178,-0.0016833471337657263,3.8021138212321093,FAIL,INVALID,1,,FAIL,FAIL
RDVG_V2_20260919_SMOKE01,smoke,,PRE_UNIFIED_BACKLOG_PROTOCOL,2,7,4,HIGH,1575,1575.0,30,210.0,210.0,210.0,209.7,29.9,29.957142857142856,,,,True,48.535417620610005,,485.3541762061001,0.23145168154797333,47.17993684210526,0,VALID,CLEAN,,4,3.2667027819000025,0.0,0.03435834247485693,-0.00023572740668542907,PASS,QUEUE_STABLE,,,,
RDVG_V2_20260919_SMOKE02,smoke,,PRE_UNIFIED_BACKLOG_PROTOCOL,2,7,4,LOW,945,945.0,21,210.0,147.0,147.0,146.2,20.8,20.885714285714286,,,,True,29.05402631291496,,290.5402631291496,0.19872795015673705,46.00482291666667,0,VALID,CLEAN,,4,3.1511428562000026,0.0,0.030412230941984794,0.00872826202039366,PASS,QUEUE_STABLE,,,,
